customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
SP,Sao Paulo,1893137.97,15220,124.38
RJ,Rio De Janeiro,983644.96,6758,145.55
MG,Belo Horizonte,350970.21,2714,129.32
DF,Brasilia,297364.02,2092,142.14
PR,Curitiba,208322.29,1485,140.28
RS,Porto Alegre,188850.0,1356,139.27
SP,Campinas,184445.49,1408,131.0
BA,Salvador,179037.12,1221,146.63
SP,Guarulhos,142220.76,1166,121.97
RJ,Niteroi,117319.13,840,139.67
GO,Goiania,105306.4,683,154.18
SP,Sao Bernardo Do Campo,103343.71,914,113.07
SP,Santos,98076.81,698,140.51
CE,Fortaleza,96759.97,638,151.66
SP,Santo Andre,91334.38,783,116.65
PE,Recife,89316.12,607,147.14
SC,Florianopolis,85765.47,562,152.61
SP,Osasco,81852.77,736,111.21
SP,Jundiai,80302.58,555,144.69
PA,Belem,79611.07,435,183.01
SP,Sao Jose Dos Campos,78024.19,678,115.08
SP,Sorocaba,75821.83,617,122.89
SP,Ribeirao Preto,65034.51,502,129.55
MG,Juiz De Fora,64944.87,423,153.53
RJ,Nova Iguacu,59176.91,432,136.98
MS,Campo Grande,55481.77,311,178.4
ES,Vitoria,52968.1,373,142.01
PB,Joao Pessoa,52931.92,252,210.05
RJ,Sao Goncalo,52074.89,404,128.9
SP,Piracicaba,52008.26,361,144.07
SP,Mogi Das Cruzes,51594.28,375,137.58
SP,Barueri,51304.65,428,119.87
MA,Sao Luis,50814.03,345,147.29
PI,Teresina,49817.53,279,178.56
MG,Contagem,49497.32,422,117.29
ES,Vila Velha,48087.03,329,146.16
MG,Uberlandia,47930.17,368,130.25
SP,Sao Jose Do Rio Preto,46737.47,328,142.49
PR,Londrina,46165.56,300,153.89
AL,Maceio,44562.68,245,181.89
SP,Maua,42537.06,315,135.04
SP,Bauru,39441.36,269,146.62
